CTV3ID	TERMCODE	OBSERVABLE_CONCEPTID	OBSERVABLE_DESCRIPTIONID	USE_ALTERNATE
XaXlo	YauVU	860591000000104	2225831000000111	Y
XaXnH	YauW5	450324005	2916279012	Y
XaXvx	Yaubt	446517006	2883487014	Y
XaXvz	Yaubu	445552006	2871202016	Y
XaXw2	Yaubw	450326007	2916035015	Y
XaXzl	YaudB	450728006	2916758011	Y
XaY6v	Yauf6	763699005	3643337018	Y
XaY6z	YaufB	704180000	3012193016	Y
XaYRF	YawYr	1084661000000103	2717841000000114	Y
XaYXD	Yauri	809871000000109	2113471000000118	Y
XaYYk	Yausv	810611000000108	2115021000000110	Y
XaZ0r	YavFk	823101000000104	2142631000000118	Y
XaZGe	YavOs	835151000000100	2169191000000111	Y
XaZJN	YavR6	836541000000100	2172151000000118	Y
XaZJQ	YavR8	836571000000106	2172211000000113	Y
XaZJo	YavRP	836851000000104	2172791000000113	Y
XaZNM	YavUN			N
XaZYZ	YavbC	845421000000104	2192861000000117	Y
XaZZW	Yavbq	447162005	2883197014	Y
XaZho	Yavij	850921000000102	2204711000000117	Y
XaZpl	YavlJ	860571000000103	2225791000000116	Y
XaZqU	Yavly	860641000000108	2225941000000111	Y
XaZrd	YavmV	859371000000106	2223311000000113	Y
XaZvE	Yavp9			A
Xaa1t	YavvW			A
Xaa1u	YavvX			A
Xaa1v	YavvY			A
Xaa1w	YavvZ			A
Xaa1x	Yavva			A
Xaa7P	Yaw0a	867551000000106	2242491000000116	Y
Xaa7Z	Yaw0j			N
XaaAc	Yaw3G	443653008	2839443010	Y
XaaCT	Yaw4q	723617007	3425278016	Y
XaaDW	Yaw5q			N
XaaDX	Yaw5r			N
XaaDb	Yaw5v			N
XaaDd	Yaw5x			N
XaaDe	Yaw5y			N
XaaDf	Yaw5z			N
XaaDg	Yaw60			N
XaaEG	Yaw6Y			N
XaaEl	Yaw71			N
XaaF1	Yaw7G	872541000000104	2253781000000118	Y
XaaFh	Yaw7x			N
XaaFi	Yaw7y			N
XaaFj	Yaw7z			N
XaaFk	Yaw80			N
XaaFl	Yaw81	443657009	2838798010	Y
XaaFm	Yaw82			N
XaaFt	Yaw8A			N
XaaFv	Yaw8C			N
XaaGx	Yaw9I			N
XaaGy	Yaw9J			N
XaaGz	Yaw9K			N
XaaH0	Yaw9L			N
XaaPo	YawHA	859771000000107	2224171000000115	Y
XaaSx	YawJT	707514001	3030432017	Y
XaaZY	YawQB	705029005	3015253017	Y
XaaaE	YawQo			A
Xaacs	YawTG	718426000	3312242015	N
Xaarw	Yawg6	895841000000104	2305061000000110	Y
XaaxQ	YawmH	898861000000108	2312251000000114	Y
Xab0M	Yawpl	901671000000100	2319111000000113	Y
Xab1C	Yawqb	902151000000106	2320281000000113	Y
Xab36	YawsR	1083591000000106	2715371000000119	Y
Xab37	YawsS	1083571000000107	2715331000000116	Y
Xab3F	Yawsa	441680005	2817378011	Y
Xab3Q	Yawsl	441930001	2817787017	Y
Xab4X	Yawtp	905301000000103	2328051000000114	Y
XabAQ	YawyZ	909421000000102	2337981000000116	Y
XabUt	YaxIh	763258007	3638309013	Y
XabVV	YaxJJ	713064009	3287767017	Y
XabYS	YaxMG	713636003	3290574012	Y
Xabcz	YaxPq	713644003	3296561011	Y
XabnF	YaxZR	932621000000100	2389661000000115	Y
XabnG	YaxZS	932581000000100	2389581000000111	Y
XabnH	YaxZT	932611000000106	2389641000000116	Y
XabnI	YaxZU	932591000000103	2389601000000119	Y
XabnJ	YaxZV	932601000000109	2389621000000111	Y
Xabo2	YaxaF	933191000000100	2391011000000114	Y
XabpL	YaxbX	443707009	2841691017	Y
XabsQ	YM9aD	718410001	3312201018	Y
Xabu3	Yaxej	719873005	3318212012	Y
Xac9L	Yaxq4	718584002	3312843015	Y
XacC7	Yaxsv	719339005	3316029012	Y
XacFe	YaxwO	716599007	3306813011	Y
XacZ4	Yay85	966851000000102	2462071000000115	Y
Xacme	YayJQ	975681000000109	2482091000000118	Y
XaeCg	YaycP	718648003	3313073019	Y
XaeDt	YaydK	1025601000000108	2588941000000117	Y
XaeFq	Yayex	1036471000000109	2616111000000110	Y
Xaeds	Yaypi	1036651000000102	2616551000000117	Y
Xaex7	YayvO	1048311000000106	2640901000000118	Y
dnh..	y02Eb			N
qB...	y0C8k			N
qC...	y0DS1			N
