read,bnf,read_new,bnf_new
a62N.,01.03.01.00,a62N,01030100
a62O.,01.03.01.00,a62O,01030100
a62P.,01.03.01.00,a62P,01030100
a62Q.,01.03.01.00,a62Q,01030100
a62u.,01.03.01.00,a62u,01030100
a62v.,01.03.01.00,a62v,01030100
a62w.,01.03.01.00,a62w,01030100
a62x.,01.03.01.00,a62x,01030100
a62y.,01.03.01.00,a62y,01030100
a62z.,01.03.01.00,a62z,01030100
a63..,01.03.02.00,a63,01030200
a631.,01.03.02.00,a631,01030200
a63z.,01.03.02.00,a63z,01030200
a64..,01.03.03.00,a64,01030300
a642.,01.03.03.00,a642,01030300
a643.,01.03.03.00,a643,01030300
a64y.,01.03.03.00,a64y,01030300
a64z.,01.03.03.00,a64z,01030300
a65..,01.03.03.00,a65,01030300
a651.,01.03.03.00,a651,01030300
a652.,01.03.03.00,a652,01030300
a65y.,01.03.03.00,a65y,01030300
a65z.,01.03.03.00,a65z,01030300
a66..,01.03.00.00,a66,01030000
a661.,01.03.00.00,a661,01030000
a662.,01.03.00.00,a662,01030000
a663.,01.03.00.00,a663,01030000
a664.,01.03.00.00,a664,01030000
a66z.,01.03.00.00,a66z,01030000
a67..,01.03.00.00,a67,01030000
a671.,01.03.06.00,a671,01030600
a68..,01.03.01.00,a68,01030100
a681.,01.03.01.00,a681,01030100
a682.,01.03.01.00,a682,01030100
a683.,01.03.01.00,a683,01030100
a684.,01.03.01.00,a684,01030100
a69..,01.03.01.00,a69,01030100
a691.,01.03.01.00,a691,01030100
a692.,01.03.01.00,a692,01030100
a693.,01.03.01.00,a693,01030100
a694.,01.03.01.00,a694,01030100
a695.,01.03.01.00,a695,01030100
a696.,01.03.01.00,a696,01030100
a697.,01.03.01.00,a697,01030100
a698.,01.03.01.00,a698,01030100
a6a..,01.03.04.00,a6a,01030400
a6a1.,01.03.04.00,a6a1,01030400
a6a2.,01.03.04.00,a6a2,01030400
a6a4.,07.01.01.00,a6a4,07010100
a6a5.,07.01.01.00,a6a5,07010100
a6a6.,07.01.01.00,a6a6,07010100
a6a7.,07.01.01.00,a6a7,07010100
a6b..,01.03.05.00,a6b,01030500
a6b1.,01.03.05.00,a6b1,01030500
a6b2.,01.03.05.00,a6b2,01030500
a6b3.,01.03.05.00,a6b3,01030500
a6b4.,01.03.05.00,a6b4,01030500
a6b5.,01.03.05.00,a6b5,01030500
a6b6.,01.03.05.00,a6b6,01030500
a6b7.,01.03.05.00,a6b7,01030500
a6b8.,01.03.05.00,a6b8,01030500
a6b9.,01.03.05.00,a6b9,01030500
a6bA.,01.03.05.00,a6bA,01030500
a6bB.,01.03.05.00,a6bB,01030500
a6bC.,01.03.05.00,a6bC,01030500
a6bD.,01.03.05.00,a6bD,01030500
a6bE.,01.03.05.00,a6bE,01030500
a6bF.,01.03.05.00,a6bF,01030500
a6bG.,01.03.05.00,a6bG,01030500
a6bH.,01.03.05.00,a6bH,01030500
a6bI.,01.03.05.00,a6bI,01030500
a6bJ.,01.03.05.00,a6bJ,01030500
a6bK.,01.03.05.00,a6bK,01030500
a6bL.,01.03.05.00,a6bL,01030500
a6bM.,01.03.05.00,a6bM,01030500
a6bN.,01.03.05.00,a6bN,01030500
a6bO.,01.03.05.00,a6bO,01030500
a6bP.,01.03.05.00,a6bP,01030500
a6bQ.,01.03.05.00,a6bQ,01030500
a6bR.,01.03.05.00,a6bR,01030500
a6bS.,01.03.05.00,a6bS,01030500
a6bu.,01.03.05.00,a6bu,01030500
a6bv.,01.03.05.00,a6bv,01030500
a6bw.,01.03.05.00,a6bw,01030500
a6bx.,01.03.05.00,a6bx,01030500
a6by.,01.03.05.00,a6by,01030500
a6bz.,01.03.05.00,a6bz,01030500
a6c..,01.03.05.00,a6c,01030500
a6c1.,01.03.05.00,a6c1,01030500
a6c2.,01.03.05.00,a6c2,01030500
a6c3.,01.03.05.00,a6c3,01030500
a6c4.,01.03.05.00,a6c4,01030500
a6c5.,01.03.05.00,a6c5,01030500
a6c6.,01.03.05.00,a6c6,01030500
a6c7.,01.03.05.00,a6c7,01030500
a6c8.,01.03.05.00,a6c8,01030500
a6c9.,01.03.05.00,a6c9,01030500
a6cA.,01.03.05.00,a6cA,01030500
a6d..,01.03.01.00,a6d,01030100
a6d1.,01.03.01.00,a6d1,01030100
a6d2.,01.03.01.00,a6d2,01030100
a6e..,01.03.05.00,a6e,01030500
a6e1.,01.03.05.00,a6e1,01030500
a6e2.,01.03.05.00,a6e2,01030500
a6e3.,01.03.05.00,a6e3,01030500
a6e4.,01.03.05.00,a6e4,01030500
a6e5.,01.03.05.00,a6e5,01030500
a6e6.,01.03.05.00,a6e6,01030500
a6e7.,01.03.05.00,a6e7,01030500
a6f..,01.03.05.00,a6f,01030500
a6f1.,01.03.05.00,a6f1,01030500
a6f2.,01.03.05.00,a6f2,01030500
a6f3.,01.03.05.00,a6f3,01030500
a6f4.,01.03.05.00,a6f4,01030500
a6g..,00.00.00.00,a6g,00000000
a6g1.,01.03.00.00,a6g1,01030000
a6g2.,01.03.00.00,a6g2,01030000
a6g3.,01.03.05.00,a6g3,01030500
a6g4.,01.03.05.00,a6g4,01030500
a6h..,01.03.05.00,a6h,01030500
a6h1.,01.03.05.00,a6h1,01030500
a6h2.,01.03.05.00,a6h2,01030500
a6h3.,01.03.05.00,a6h3,01030500
a6h4.,01.03.05.00,a6h4,01030500
a6h5.,01.03.05.00,a6h5,01030500
a6h6.,01.03.05.00,a6h6,01030500
a6hu.,01.03.05.00,a6hu,01030500
a6hv.,01.03.05.00,a6hv,01030500
a6hw.,01.03.05.00,a6hw,01030500
a6hx.,01.03.05.00,a6hx,01030500
a6hy.,01.03.05.00,a6hy,01030500
a6hz.,01.03.05.00,a6hz,01030500
a7...,01.04.01.00,a7,01040100
a71..,01.04.01.00,a71,01040100
a711.,01.04.01.00,a711,01040100
a712.,01.04.01.00,a712,01040100
a713.,01.04.01.00,a713,01040100
a714.,01.04.01.00,a714,01040100
a715.,01.04.01.00,a715,01040100
a72..,00.00.00.00,a72,00000000
a73..,01.04.01.00,a73,01040100
a731.,01.04.01.00,a731,01040100
a732.,01.04.01.00,a732,01040100
a75..,01.04.01.00,a75,01040100
a76..,01.04.01.00,a76,01040100
a8...,01.04.02.00,a8,01040200
a81..,01.04.02.00,a81,01040200
a811.,01.04.02.00,a811,01040200
a812.,01.04.02.00,a812,01040200
a813.,01.04.02.00,a813,01040200
a814.,01.04.02.00,a814,01040200
a815.,01.04.02.00,a815,01040200
a82..,01.04.02.00,a82,01040200
a821.,01.04.02.00,a821,01040200
a822.,01.04.02.00,a822,01040200
a823.,01.04.02.00,a823,01040200
a824.,01.04.02.00,a824,01040200
a825.,01.04.02.00,a825,01040200
a826.,01.04.02.00,a826,01040200
a827.,01.04.02.00,a827,01040200
a83..,01.04.02.00,a83,01040200
a831.,01.04.02.00,a831,01040200
a832.,01.04.02.00,a832,01040200
a833.,01.04.02.00,a833,01040200
a834.,01.04.02.00,a834,01040200
a835.,01.04.02.00,a835,01040200
a836.,01.04.02.00,a836,01040200
a837.,01.04.02.00,a837,01040200
a838.,01.04.02.00,a838,01040200
a839.,01.04.02.00,a839,01040200
a83A.,01.04.02.00,a83A,01040200
a83B.,01.04.02.00,a83B,01040200
a83C.,01.04.02.00,a83C,01040200
a83D.,01.04.02.00,a83D,01040200
a83E.,01.04.02.00,a83E,01040200
a83w.,01.04.02.00,a83w,01040200
a83x.,01.04.02.00,a83x,01040200
a83y.,01.04.02.00,a83y,01040200
a83z.,01.04.02.00,a83z,01040200
a84..,01.04.02.00,a84,01040200
a841.,01.04.02.00,a841,01040200
a842.,01.04.02.00,a842,01040200
a85..,01.04.02.00,a85,01040200
a851.,01.04.02.00,a851,01040200
a852.,01.04.02.00,a852,01040200
a853.,01.04.02.00,a853,01040200
a854.,01.04.02.00,a854,01040200
a9...,00.00.00.00,a9,00000000
a91..,00.00.00.00,a91,00000000
aa...,01.05.00.00,aa,01050000
aa1..,01.05.00.00,aa1,01050000
aa2..,01.09.02.00,aa2,01090200
aa21.,01.09.02.00,aa21,01090200
aa2z.,01.09.02.00,aa2z,01090200
aa3..,01.05.01.00,aa3,01050100
aa31.,01.05.01.00,aa31,01050100
aa32.,01.05.01.00,aa32,01050100
aa33.,01.05.01.00,aa33,01050100
aa34.,01.05.00.00,aa34,01050000
aa35.,01.05.00.00,aa35,01050000
aa36.,01.05.01.00,aa36,01050100
aa37.,01.05.01.00,aa37,01050100
aa38.,01.05.01.00,aa38,01050100
aa39.,01.05.01.00,aa39,01050100
aa3A.,01.05.01.00,aa3A,01050100
aa3B.,01.05.01.00,aa3B,01050100
aa3C.,01.05.01.00,aa3C,01050100
aa3D.,01.05.01.00,aa3D,01050100
aa3E.,01.05.01.00,aa3E,01050100
aa3F.,01.05.01.00,aa3F,01050100
aa3G.,01.05.01.00,aa3G,01050100
aa3H.,01.05.01.00,aa3H,01050100
aa3I.,01.05.01.00,aa3I,01050100
aa3J.,01.05.01.00,aa3J,01050100
aa3K.,01.05.01.00,aa3K,01050100
aa3L.,01.05.01.00,aa3L,01050100
aa3M.,01.05.00.00,aa3M,01050000
aa3N.,01.05.01.00,aa3N,01050100
aa3P.,01.05.01.00,aa3P,01050100
aa3Q.,01.05.01.00,aa3Q,01050100
aa3R.,01.05.01.00,aa3R,01050100
aa3S.,01.05.01.00,aa3S,01050100
aa3T.,01.05.01.00,aa3T,01050100
aa3U.,01.05.01.00,aa3U,01050100
aa3V.,01.05.01.00,aa3V,01050100
aa3W.,01.05.01.00,aa3W,01050100
aa3X.,01.05.01.00,aa3X,01050100
aa3Y.,01.05.01.00,aa3Y,01050100
aa3Z.,01.05.01.00,aa3Z,01050100
aa3a.,01.05.01.00,aa3a,01050100
aa3b.,01.05.01.00,aa3b,01050100
aa3c.,01.05.01.00,aa3c,01050100
aa3d.,01.05.01.00,aa3d,01050100
aa3e.,01.05.01.00,aa3e,01050100
aa3f.,01.05.01.00,aa3f,01050100
aa3g.,01.05.01.00,aa3g,01050100
aa3h.,01.05.01.00,aa3h,01050100
aa3i.,01.05.01.00,aa3i,01050100
aa3j.,01.05.01.00,aa3j,01050100
aa3k.,01.05.01.00,aa3k,01050100
aa3l.,01.05.01.00,aa3l,01050100
aa3w.,01.05.01.00,aa3w,01050100
aa3x.,01.05.01.00,aa3x,01050100
aa3y.,01.05.01.00,aa3y,01050100
aa3z.,01.05.01.00,aa3z,01050100
aa4..,01.05.02.00,aa4,01050200
aa5..,01.05.04.00,aa5,01050400
aa51.,01.05.04.00,aa51,01050400
aa5z.,01.05.04.00,aa5z,01050400
aa6..,01.05.01.00,aa6,01050100
aa61.,01.05.01.00,aa61,01050100
aa62.,01.05.01.00,aa62,01050100
aa63.,01.05.01.00,aa63,01050100
aa64.,01.05.00.00,aa64,01050000
aa65.,01.05.01.00,aa65,01050100
